Local code,Reagent name,CAS number,Chemical category,Location,Observation,Available quantity,Total quantity,Container size
F-27,POLIETILIENO DE ALTA DENSIDAD (HDPE),NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,3 kg,3 kg,Muy grande
F-27,POLIETILIENO DE ALTA DENSIDAD (HDPE),NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,3 kg,3 kg,Muy grande
F-28,CHROMOSORB W/NAW,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,91.67 g,100 g,Mediano
F-28,CHROMOSORB W/NAW,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Mediano
F-28,CHROMOSORB W/NAW,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Mediano
F-28,CHROMOSORB W/NAW,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,91.67 g,100 g,Mediano
F-28,CHROMOSORB W/NAW,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,88.00 g,100 g,Mediano
F-28,CHROMOSORB W/NAW,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Mediano
F-29,POLIPROPILENO,NULL,Silica y demás,ESTANTE MADERA GRANDE,Empacado en una bolsa plástica sin etiquetas.,250 g,250 g,Grande
F-3,AMBERLITA IRA-63,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.73 lb,1 lb,Grande
F-30,POLICLORURO DE VINILO (PVC),9000-86-2,Silica y demás,ESTANTE MADERA GRANDE,NULL,229.17 g,250 g,Grande
F-31,SILICA MESOESTRUCTURADA SBA-15,7631-86-9,Silica y demás,ESTANTE MADERA GRANDE,"Reactivo nuevo, sin abrir.",5 g,5 g,Mediano
F-32,OXIDO DE ALUMINIO 90 ESTANDARIZADO PARA ANALISIS CROMATOGRAFICO POR ADSORCION,NULL,Silica y demás,ESTANTE MADERA GRANDE,Re-envasado en un frasco de conservas.,123.75 g,150 g,Mediano
F-33,TIERRA SILICEA G PARA TLC,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,225.00 g,500 g,Grande
F-4,AMBERLITA CG-50 (H),NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,350.00 g,500 g,Grande
F-5,AMBERLITA IRA-45,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,330.00 g,500 g,Grande
F-6,CARBON ACTIVADO DARCO,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,0.92 kg,1 kg,Gigante
F-6,CARBON ACTIVADO DARCO,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,131.25 g,500 g,Muy grande
F-6,CARBON ACTIVADO DARCO,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,158.33 g,250 g,Grande
F-7,OXIDO DE ALUMINIO NEUTRO 60 GF(254),NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,247.50 g,500 g,Grande
F-7,OXIDO DE ALUMINIO NEUTRO 60 GF(254),NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,440.00 g,500 g,Grande
F-8,OXIDO DE ALUMINIO 150 ACIDO,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,237.50 g,500 g,Grande
F-9,ALUMINA GRADO CROMATOGRAFIA DE GASES,NULL,Silica y demás,ESTANTE MADERA GRANDE,NULL,196.88 g,250 g,Mediano
Fe-01,HIERRO METALICO EN POLVO, 7439-89-6,Compuestos de hierro,ESTANTE MADERA GRANDE,NULL,250 g,250 g,Pequeño-medio
Fe-02,CLORURO DE HIERRO(III),7705-08-0,Compuestos de hierro,ESTANTE MADERA GRANDE,NULL,0.66 kg,1 kg,Gigante
H-21,DMAEMA PURIFICADO,2867-47-2*,Compuestos sin clasificación,NEVERA,NULL,49.50 mL,200 mL,Medio-grande
H-21,DMAEMA PURIFICADO,2867-47-2*,Compuestos sin clasificación,NEVERA,NULL,49.50 mL,200 mL,Medio-grande
H-22,N-BUTIL ACRILATO PURIFICADO,141-32-2**,Compuestos sin clasificación,NEVERA,NULL,9.90 mL,100 mL,Mediano
H-22,N-BUTIL ACRILATO PURIFICADO,141-32-2**,Compuestos sin clasificación,NEVERA,NULL,14.85 mL,150 mL,Mediano
H-22,N-BUTIL ACRILATO PURIFICADO,141-32-2**,Compuestos sin clasificación,NEVERA,NULL,111.38 mL,150 mL,Mediano
H-22,N-BUTIL ACRILATO PURIFICADO,141-32-2**,Compuestos sin clasificación,NEVERA,NULL,9.90 mL,100 mL,Mediano
H-22,N-BUTIL ACRILATO PURIFICADO,141-32-2**,Compuestos sin clasificación,NEVERA,NULL,111.38 mL,150 mL,Mediano
H-22,N-BUTIL ACRILATO PURIFICADO,141-32-2**,Compuestos sin clasificación,NEVERA,NULL,14.85 mL,150 mL,Mediano
H-24,METACRILATO DE LAURILO,142-90-5,Compuestos sin clasificación,NEVERA,NULL,100 mL,100 mL,Mediano
H-24,METACRILATO DE LAURILO,142-90-5,Compuestos sin clasificación,NEVERA,NULL,100 mL,100 mL,Mediano
H-25,ACIDO 3-MALEIMIDOPROPIONICO,7423-55-4,Compuestos sin clasificación,NEVERA,NULL,24.75 mL,100 mL,Mediano
H-25,ACIDO 3-MALEIMIDOPROPIONICO,7423-55-4,Compuestos sin clasificación,NEVERA,NULL,24.75 mL,100 mL,Mediano
H-28,"1,6-HEXANODIAMINA",124-09-4*,Compuestos sin clasificación,NEVERA,NULL,3.96 g,20 g,Pequeño
H-28,"1,6-HEXANODIAMINA",124-09-4*,Compuestos sin clasificación,NEVERA,NULL,3.96 g,20 g,Pequeño
H-29,GRANDISOL,30820-22-5,Compuestos sin clasificación,NEVERA,NULL,2 mL,2 mL,Muy pequeño
H-29,GRANDISOL,30820-22-5,Compuestos sin clasificación,NEVERA,NULL,2 mL,2 mL,Muy pequeño
H-31,17(beta)-ESTRADIOL,50-28-2,Compuestos sin clasificación,NEVERA,NULL,0.45 g,1 g,Pequeño
H-31,17(beta)-ESTRADIOL,50-28-2,Compuestos sin clasificación,NEVERA,NULL,0.45 g,1 g,Pequeño
H-32,NANOCELULOSA VEGEAL DE RAQUIS DE BANANO,NULL,Compuestos sin clasificación,NEVERA,"Empacado en un balde con cierre hermético, producido por la UPB-Medellín.",NULL,NULL,Gigante
H-32,NANOCELULOSA VEGEAL DE RAQUIS DE BANANO,NULL,Compuestos sin clasificación,NEVERA,"Empacado en un balde con cierre hermético, producido por la UPB-Medellín.",NULL,NULL,Gigante
H-33,ACEITE DE COCO,8001-31-8,Compuestos sin clasificación,NEVERA,"Existen tres frascos y un caneca de 20 L con esta sustancia, producidos por Tacay. La etiqueta de la caneca dice que el aceite de coco se vence a finales de 2022.",10 kg,10 kg,Gigante
H-33,ACEITE DE COCO,8001-31-8,Compuestos sin clasificación,NEVERA,"Existen tres frascos y un caneca de 20 L con esta sustancia, producidos por Tacay. La etiqueta de la caneca dice que el aceite de coco se vence a finales de 2022.",10 kg,10 kg,Gigante
H-35,OXIMA PURA NOVABIOCHEM,3849-21-6,Compuestos sin clasificación,NEVERA,NULL,100 g,100 g,Medio-grande
H-35,OXIMA PURA NOVABIOCHEM,3849-21-6,Compuestos sin clasificación,NEVERA,NULL,100 g,100 g,Medio-grande
H-37,HIDROCLORURO DE 3-CLOROPROPILAMINA,6276-54-6,Compuestos sin clasificación,NEVERA,NULL,210.00 g,250 g,Grande
H-37,HIDROCLORURO DE 3-CLOROPROPILAMINA,6276-54-6,Compuestos sin clasificación,NEVERA,NULL,210.00 g,250 g,Grande
H-38,NANOCELULOSA OXIDADA,NULL,Compuestos sin clasificación,NEVERA,"Re-envasado en un frasco ámbar, traído de la UIS para el proyecto de bioempaques.",125 mL,125 mL,Mediano
H-38,NANOCELULOSA OXIDADA,NULL,Compuestos sin clasificación,NEVERA,"Re-envasado en un frasco ámbar, traído de la UIS para el proyecto de bioempaques.",125 mL,125 mL,Mediano
H-40,"4,7-DICLOROQUINOLINA",86-98-6,Compuestos sin clasificación,NEVERA,NULL,24.75 g,100 g,Medio-grande
H-40,"4,7-DICLOROQUINOLINA",86-98-6,Compuestos sin clasificación,NEVERA,NULL,24.75 g,100 g,Medio-grande
H-41,DESOXICOLATO DE SODIO,302-95-4,Compuestos sin clasificación,NEVERA,NULL,5.62 g,25 g,Pequeño
H-41,DESOXICOLATO DE SODIO,302-95-4,Compuestos sin clasificación,NEVERA,NULL,5.62 g,25 g,Pequeño
H-42,DISOLUCIÓN PATRÓN DE PLOMO AAS,10099-74-8,Compuestos sin clasificación,NEVERA,NULL,24.75 mL,100 mL,Mediano
H-42,DISOLUCIÓN PATRÓN DE PLOMO AAS,10099-74-8,Compuestos sin clasificación,NEVERA,NULL,24.75 mL,100 mL,Mediano
H-43,DISOLUCIÓN PATRÓN DE CADMIO AAS,10325-94-7,Compuestos sin clasificación,NEVERA,NULL,73.33 mL,100 mL,Mediano
H-43,DISOLUCIÓN PATRÓN DE CADMIO AAS,10325-94-7,Compuestos sin clasificación,NEVERA,NULL,73.33 mL,100 mL,Mediano
H-44,ÁCIDO 4-VINILBENZOICO,1075-49-6,Compuestos sin clasificación,NEVERA,NULL,0.90 g,5 g,Pequeño
H-44,ÁCIDO 4-VINILBENZOICO,1075-49-6,Compuestos sin clasificación,NEVERA,NULL,0.90 g,5 g,Pequeño
H-45,"PATRONES DE ÁCIDOS GRASOS (ÁC. MIRÍSTICO, ÁC. NONADECANOICO, ÁC. UNDECANOICO)",NULL,Compuestos sin clasificación,NEVERA,NULL,4.80 g,8 g,Pequeño
H-45,"PATRONES DE ÁCIDOS GRASOS (ÁC. MIRÍSTICO, ÁC. NONADECANOICO, ÁC. UNDECANOICO)",NULL,Compuestos sin clasificación,NEVERA,NULL,4.80 g,8 g,Pequeño
H-46,DISOLUCIÓN DE HIDROXILAMINA,7803-49-8,Compuestos sin clasificación,NEVERA,NULL,60 mL,60 mL,Mediano
H-46,DISOLUCIÓN DE HIDROXILAMINA,7803-49-8,Compuestos sin clasificación,NEVERA,NULL,60 mL,60 mL,Mediano
H-47,ÁCIDO YODHÍDRICO,10034-85-2,Compuestos sin clasificación,NEVERA,NULL,50 mL,50 mL,Mediano
H-47,ÁCIDO YODHÍDRICO,10034-85-2,Compuestos sin clasificación,NEVERA,NULL,50 mL,50 mL,Mediano
H-48,NANOCELULOSA EXILVA P-OIL,NULL,Compuestos sin clasificación,NEVERA,NULL,330.00 g,500 g,Grande
H-48,NANOCELULOSA EXILVA P-OIL,NULL,Compuestos sin clasificación,NEVERA,NULL,330.00 g,500 g,Grande
H-49,ACETATO DE DODECILO,112-66-3,Compuestos sin clasificación,NEVERA,NULL,500 mL,500 mL,Grande
H-49,ACETATO DE DODECILO,112-66-3,Compuestos sin clasificación,NEVERA,NULL,500 mL,500 mL,Grande
Hg-01,NITRATO DE MERCURIO,10415-75-5,Compuestos de mercurio,ESTANTE MADERA GRANDE,NULL,175.00 g,250 g,Mediano
Hg-02,BROMURO DE MERCURIO,7789-47-1,Compuestos de mercurio,ESTANTE MADERA GRANDE,NULL,150 g,150 g,Pequeño
Hg-03,ACETATO DE MERCURIO,1600-27-7,Compuestos de mercurio,ESTANTE MADERA GRANDE,El frasco 2 viene sin etiquetas.,1.98 g,20 g,Pequeño
Hg-03,ACETATO DE MERCURIO,1600-27-7,Compuestos de mercurio,ESTANTE MADERA GRANDE,El frasco 2 viene sin etiquetas.,82.50 g,250 g,Mediano
Hg-04,CLORURO DE MERCURIO,7487-94-7,Compuestos de mercurio,ESTANTE MADERA GRANDE,Frasco ámbar sin etiquetas.,250 g,250 g,Mediano
Hg-04,CLORURO DE MERCURIO,7487-94-7,Compuestos de mercurio,ESTANTE MADERA GRANDE,Frasco ámbar sin etiquetas.,4.95 g,30 g,Mediano
Hg-04,CLORURO DE MERCURIO,7487-94-7,Compuestos de mercurio,ESTANTE MADERA GRANDE,Frasco ámbar sin etiquetas.,28.12 g,125 g,Mediano
Hg-05,BROMURO DE MERCURIO,7789-47-1*,Compuestos de mercurio,ESTANTE MADERA GRANDE,NULL,9.90 g,50 g,Pequeño-medio
I-01,ACIDO YODICO,7782-68-5,Compuestos de yodo,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Pequeño-medio
I-02,YODO RESUBLIMADO,7553-56-2,Compuestos de yodo,ESTANTE MADERA GRANDE,NULL,123.75 g,500 g,Grande
I-02,YODO RESUBLIMADO,7553-56-2,Compuestos de yodo,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Pequeño-medio
In-01,CLORURO DE INDIO(III) TETRAHIDRATADO,143983-91-9,Compuestos de indio,ESTANTE MADERA GRANDE,"Parece que no ha sido abierto, viene en una bolsa sellada.",50 g,50 g,Mediano
K-01,DIHIDROGENOFOSFATO DE POTASIO,7778-77-0,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,1 kg,1 kg,Grande
K-02,SULFATO DE POTASIO,7778-80-5,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,0.49 kg,1 kg,Grande
K-02,SULFATO DE POTASIO,7778-80-5,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,1 kg,1 kg,Grande
K-03,BIFTALATO DE POTASIO,877-24-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,82.50 g,250 g,Grande
K-04,CIANURO DE POTASIO,151-50-8,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,185.62 g,250 g,Grande
K-05,CIANATO DE POTASIO,590-28-3,Compuestos de potasio,ESTANTE MADERA GRANDE,"Tiene una bolsa dentro que parece desecante, el reactivo parece aglomerarse en grandes bloques.",400 g,400 g,Grande
K-06,CARBONATO DE POTASIO,584-08-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,247.50 g,500 g,Grande
K-08,YODURO DE POTASIO,7681-11-0,Compuestos de potasio,ESTANTE MADERA GRANDE,Es un envase plástico sin etiquetas.,2 g,20 g,Mediano
K-09,BROMURO DE POTASIO,03-02-58,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,49.50 g,500 g,Grande
K-09,BROMURO DE POTASIO,03-02-58,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,0.82 kg,1 kg,Grande
K-10,HIDROXIDO DE POTASIO,1310-58-3,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,0.33 kg,1 kg,Grande
K-10,HIDROXIDO DE POTASIO,1310-58-3,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,0.49 kg,1 kg,Grande
K-10,HIDROXIDO DE POTASIO,1310-58-3,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,1 kg,1 kg,Grande
K-11,PERSULFATO DE POTASIO,7727-21-1,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,396.00 g,500 g,Grande
K-12,CLORURO DE POTASIO,7447-40-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,1 kg,1 kg,Grande
K-13,CROMATO DE POTASIO,7789-00-6,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,137.50 g,250 g,Medio-grande
K-15,PERYODATO DE POTASIO, 7790-21-8,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,88.00 g,100 g,Mediano
K-15,PERYODATO DE POTASIO, 7790-21-8,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,49.50 g,100 g,Mediano
K-17,HEXACLOROPLATINATO DE POTASIO(I),16921-30-5,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,0.95 g,5 h,Muy pequeño
K-18,YODATO DE POTASIO,06-05-58,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,52.50 g,100 g,Mediano
K-18,YODATO DE POTASIO,06-05-58,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,66.00 g,100 g,Mediano
K-18,YODATO DE POTASIO,06-05-58,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Mediano
K-18,YODATO DE POTASIO,06-05-58,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Mediano
K-18,YODATO DE POTASIO,06-05-58,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,0.99 g,50 g,Pequeño
K-19,PERMANGANATO DE POTASIO,7722-64-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,165.00 g,500 g,Grande
K-19,PERMANGANATO DE POTASIO,7722-64-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,16.50 g,100 g,Mediano
K-19,PERMANGANATO DE POTASIO,7722-64-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,500 g,500 g,Grande
K-19,PERMANGANATO DE POTASIO,7722-64-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,210.00 g,250 g,Medio-grande
K-19,PERMANGANATO DE POTASIO,7722-64-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,250 g,250 g,Mediano
K-20,BISULFATO DE POTASIO,7646-93-7,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,157.50 g,200 g,Medio-grande
K-22,DICROMATO DE POTASIO,7778-50-9,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,0.53 kg,1 kg,Grande
K-24,TIOCIANATO DE POTASIO,333-20-0,Compuestos de potasio,ESTANTE MADERA GRANDE,NULL,123.75 g,250 g,Grande
L-1,CLORURO DE PALADIO (II),01-10-47,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,Los frascos vienen empacados dentro de cajas pequeñas.,1 g,1 g,Pequeño
L-1,CLORURO DE PALADIO (II),01-10-47,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,Los frascos vienen empacados dentro de cajas pequeñas.,18.00 mg,100 mg,Muy pequeño
L-10,ETER CORONA-DIBENZO-18-CORONA-6,14187-32-7,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,2.48 g,5 g,Pequeño-medio
L-11,4-(DIMETILAMINO)PIRIDINA,1122-58-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,8.75 g,25 g,Mediano
L-14,"DICLORO[BIS(1,3-DIFENILFOSFINO)PROPANO NIQUEL (II)",156629-92-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,1.24 g,5 g,Muy pequeño
L-15,DICLORURO DE FTALOCIANINA DE SILICIO,19333-10-9,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,2.62 g,5 g,Pequeño
L-16,"1,3,5-BENCENOTRICARBONIL CLORURO",4422-95-1,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,12.38 g,25 g,Mediano
L-2,BIS(DIBENCILIDENOACETONA) DE PALADIO (0),32005-36-0,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,2.38 g,5 g,Pequeño
L-2,BIS(DIBENCILIDENOACETONA) DE PALADIO (0),32005-36-0,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.45 g,5 g,Pequeño
L-2,BIS(DIBENCILIDENOACETONA) DE PALADIO (0),32005-36-0,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,1.12 g,5 g,Pequeño
L-20,"9,10-DIFENILANTRACENO",1499-10-1,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.33 g,1 g,Pequeño
L-21,9-BROMOANTRACENO,1564-64-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,3.67 g,5 g,Mediano
L-21,9-BROMOANTRACENO,1564-64-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,25 g,25 g,Medio-grande
L-22,2-BROMONAFTALENO,580-13-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,1.38 g,5 g,Mediano
L-22,2-BROMONAFTALENO,580-13-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,1.19 g,5 g,Mediano
L-23,1-BROMOPIRENO,1714-29-0,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.30 g,1 g,Pequeño
L-24,ISOFTALDEHIDO / DICARBOXALDEHIDO ISOFTALICO,626-19-7,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,3.30 g,5 g,Pequeño
L-24,ISOFTALDEHIDO / DICARBOXALDEHIDO ISOFTALICO,626-19-7,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,5 g,5 g,Mediano
L-25,ISOPROPOXIDO DE TITANIO (IV),546-68-9,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,Parte del reactivo se ha hidrolizado.,55.00 g,100 g,Mediano
L-28,CLORURO DE ZIRCONIO (IV),10026-11-6,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,Los frascos vienen sellados y dentro de una caja.,25 g,25 g,Grande
L-28,CLORURO DE ZIRCONIO (IV),10026-11-6,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,Los frascos vienen sellados y dentro de una caja.,25 g,25 g,Grande
L-29,HEXAMETILDISILAZANO,999-97-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,Empacado en una lata con desecante.,88.00 mL,100 mL,Grande
L-3,NITRATO DE PALADIO (II) DIHIDRATADO,10102-05-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.90 mg,10 mg,Muy pequeño
L-30,(3-AMINOPROPIL)TRIETOXISILANO,919-30-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,84.00 mL,100 mL,Medio-grande
L-31,PERINAFTENONA,548-39-0,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.49 g,1 g,Pequeño
L-32,CLOROCROMATO DE PIRIDINIO,	26299-14-9,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,49.50 g,100 g,Medio-grande
L-33,"2,5-DIBROMOBENZALDEHIDO",50910-55-9,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,NULL,NULL,Pequeño
L-34,PERILENO,198-55-0,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.37 g,1 g,Pequeño
L-35,TRIS(DIBENCILIDENACETONA)DIPALADIO(0),51364-51-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,3.30 g,5 g,Pequeño
L-36,O-YODOBENZALDEHIDO,26260-02-6,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,NULL,NULL,Pequeño
L-37,n-BUTOXIDO DE TITANIO(IV),	5593-70-4,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,88.00 g,100 g,Mediano
L-38,rac-BINAP,98327-87-8,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,1.65 g,5 g,Pequeño
L-39,4-(BROMOMETIL)BENZOATO DE METILO,	2417-72-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,2.48 g,5 g,Pequeño
L-4,ACETATO DE PALADIO (II),3375-31-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.36 g,2 g,Pequeño
L-4,ACETATO DE PALADIO (II),3375-31-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,2.38 g,5 g,Pequeño
L-4,ACETATO DE PALADIO (II),3375-31-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.04 g,1 g,Pequeño
L-40,NINHIDRINA,485-47-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,4.95 g,10 g,Pequeño-medio
L-41,8-HIDROXIQUINOLINA,148-24-3,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,NULL,NULL,Mediano
L-42,"2,2'-BIPIRIDINA",366-18-7,Compuestos de paladio y reactivos especiales,ESTANTE METALICO SIN LLAVE,NULL,3.50 g,10 g,Pequeño
L-42,"2,2'-BIPIRIDINA",366-18-7,Compuestos de paladio y reactivos especiales,ESTANTE METALICO SIN LLAVE,NULL,4.95 g,10 g,Pequeño
L-42,"2,2'-BIPIRIDINA",366-18-7,Compuestos de paladio y reactivos especiales,ESTANTE METALICO SIN LLAVE,NULL,4.95 g,10 g,Pequeño
L-6,ACIDO 2-BROMOTEREFTALICO,586-35-6,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.22 g,5 g,Pequeño-medio
L-7,ACIDO 3-FORMIL-4-HIDROXIBENZOICO,584-87-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,1.24 g,5 g,Mediano
L-8,ACIDO 2-METILTEREFTALICO,04-01-56,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,0.04 g,1 g,Pequeño
L-9,DICLORURO DE BIS(TRIFENILFOSFINA) DE PALADIO (II),13965-03-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,1.58 g,5 g,Mediano
L-9,DICLORURO DE BIS(TRIFENILFOSFINA) DE PALADIO (II),13965-03-2,Compuestos de paladio y reactivos especiales,ESTANTE METALICO BAJO LLAVE,NULL,2 g,5 g,Muy pequeño
La-01,CLORURO DE LANTANO HEPTAHIDRATO,10025-84-0,Compuestos de lantano,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Mediano
La-01,CLORURO DE LANTANO HEPTAHIDRATO,10025-84-0,Compuestos de lantano,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Mediano
Li-02,LITIO,7727-37-9,Compuestos de litio,ESTANTE MADERA GRANDE,Uno de los frascos está recién destapado.,25 g,25 g,Medio-grande
Li-02,LITIO,7727-37-9,Compuestos de litio,ESTANTE MADERA GRANDE,Uno de los frascos está recién destapado.,25 g,25 g,Medio-grande
Li-02,LITIO,7727-37-9,Compuestos de litio,ESTANTE MADERA GRANDE,Uno de los frascos está recién destapado.,NULL,25 g,Medio-grande
Li-03,HIDRURO DE LITIO,7580-67-8,Compuestos de litio,ESTANTE MADERA GRANDE,El reactivo viene dentro de un frasco sellado y este a su vez dentro de una lata grande.,10 g,10 g,Muy grande
Mg-01,SULFATO DE MAGNESIO,7487-88-9,Compuestos de magnesio,ESTANTE MADERA GRANDE,NULL,0.49 kg,1 kg,Grande
Mg-03,CLORURO DE MAGNESIO,7786-30-3,Compuestos de magnesio,ESTANTE MADERA GRANDE,NULL,45.00 g,100 g,Mediano
Mg-04,NITRATO DE MAGNESIO HEXAHIDRATADO,13446-18-9,Compuestos de magnesio,ESTANTE MADERA GRANDE,El frasco plástico está remendado con cinta negra en su base.,148.50 g,200 g,Medio-grande
Mg-05,MAGNESIO METALICO,7439-95-4,Compuestos de magnesio,ESTANTE MADERA GRANDE,Frasco ámbar sin etiquetas.,100 g,100 g,Pequeño
Mn-01,CLORURO DE MANGANESO TETRAHIDRATADO,13446-34-9,Compuestos de manganeso,ESTANTE MADERA GRANDE,NULL,49.50 g,100 g,Mediano
Mn-01,CLORURO DE MANGANESO TETRAHIDRATADO,13446-34-9,Compuestos de manganeso,ESTANTE MADERA GRANDE,NULL,47.50 g,100 g,Mediano
Mn-02,SULFATO DE MANGANESO MONOHIDRATADO,10034-96-5,Compuestos de manganeso,ESTANTE MADERA GRANDE,NULL,0.20 kg,1 kg,Muy grande
